precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,sunshine_duration,shortwave_radiation_sum,et0_fao_evapotranspiration,precipitation_hours,rain_sum,snowfall_sum,weathercode,pressure_msl_mean,dewpoint_2m_mean,date
3.3,19.0,13.3,16.3,15.3,32.0,25198.12,12.31,2.21,11.0,3.3,0.0,55,1018.3,13.2,2021-05-26
6.7,21.5,12.4,17.0,15.3,32.8,36830.02,15.8,2.71,14.0,6.7,0.0,63,1016.6,14.8,2021-05-27
26.3,22.0,15.4,18.0,8.8,25.2,39852.39,16.3,2.88,20.0,26.3,0.0,63,1012.8,15.7,2021-05-28
0.6,18.9,14.1,16.2,24.3,48.6,28417.45,15.24,2.61,4.0,0.6,0.0,51,1010.6,13.0,2021-05-29
2.2,16.5,11.8,14.0,15.1,31.7,23255.62,12.47,2.19,12.0,2.2,0.0,51,1013.1,10.7,2021-05-30
0.1,15.4,10.2,12.5,18.5,37.4,47079.65,19.03,3.05,1.0,0.1,0.0,51,1017.0,7.1,2021-05-31
0.0,15.0,7.1,11.8,23.9,49.3,33080.95,18.94,3.28,0.0,0.0,0.0,3,1017.4,5.5,2021-06-01
0.0,18.0,10.8,13.7,26.6,52.6,9870.38,11.75,3.16,0.0,0.0,0.0,3,1017.7,6.4,2021-06-02
0.0,19.4,12.0,15.9,30.3,57.6,48446.43,22.19,4.57,0.0,0.0,0.0,3,1020.0,7.2,2021-06-03
0.0,21.5,13.1,17.1,17.1,35.6,52938.64,24.3,4.74,0.0,0.0,0.0,3,1020.9,8.4,2021-06-04
0.0,21.8,13.1,17.5,13.4,28.8,54866.96,20.29,4.07,0.0,0.0,0.0,3,1017.3,9.6,2021-06-05
0.6,21.5,12.7,16.8,13.7,35.6,20574.21,13.37,2.95,4.0,0.6,0.0,51,1013.4,10.6,2021-06-06
4.9,22.8,13.2,18.1,18.1,43.9,53770.18,22.69,4.07,7.0,4.9,0.0,63,1012.3,13.2,2021-06-07
2.3,23.0,14.2,18.4,16.0,40.3,53654.21,21.88,3.77,7.0,2.3,0.0,55,1011.8,14.9,2021-06-08
3.7,23.8,15.1,19.0,20.1,38.2,55979.11,23.98,4.25,7.0,3.7,0.0,63,1010.6,15.0,2021-06-09
2.4,20.8,14.4,17.8,17.2,33.5,49517.04,19.54,3.34,11.0,2.4,0.0,51,1009.9,14.6,2021-06-10
1.0,21.7,14.9,18.3,17.3,37.4,45175.19,21.45,3.85,10.0,1.0,0.0,51,1010.8,13.8,2021-06-11
0.2,23.7,13.3,19.1,11.6,30.6,56948.16,24.87,4.48,2.0,0.2,0.0,51,1011.0,14.3,2021-06-12
1.3,21.2,14.8,18.0,20.7,41.8,48882.11,24.52,4.37,4.0,1.3,0.0,53,1007.1,12.3,2021-06-13
2.6,24.8,14.8,19.1,17.6,37.4,49194.66,21.04,4.04,8.0,2.6,0.0,53,1012.1,14.4,2021-06-14
4.0,26.1,16.9,21.4,15.4,33.5,55984.64,23.33,4.5,9.0,4.0,0.0,61,1013.7,16.9,2021-06-15
0.0,25.7,18.0,22.1,19.9,41.4,57600.0,26.52,5.62,0.0,0.0,0.0,1,1013.4,14.8,2021-06-16
0.0,27.2,17.2,22.5,22.2,43.6,57600.0,25.27,5.81,0.0,0.0,0.0,3,1018.1,14.6,2021-06-17
1.7,27.2,16.7,22.5,21.9,43.6,57600.0,26.1,5.99,5.0,1.7,0.0,51,1020.4,14.1,2021-06-18
0.9,28.5,18.0,23.3,21.0,49.0,56065.94,24.28,5.58,4.0,0.9,0.0,51,1019.6,15.1,2021-06-19
0.0,29.9,19.8,24.7,24.5,47.5,50235.91,27.15,6.93,0.0,0.0,0.0,3,1016.1,14.2,2021-06-20
0.0,30.0,19.4,24.9,16.1,34.9,55723.14,26.15,6.15,0.0,0.0,0.0,3,1012.9,15.7,2021-06-21
0.0,31.8,20.2,26.3,21.5,43.2,57600.0,26.54,6.66,0.0,0.0,0.0,3,1013.3,16.4,2021-06-22
0.6,33.7,20.1,27.3,17.0,48.2,50400.0,25.89,6.64,1.0,0.6,0.0,53,1015.1,16.7,2021-06-23
0.6,34.6,21.7,27.9,19.1,42.1,47761.45,22.91,6.16,2.0,0.6,0.0,51,1016.4,16.8,2021-06-24
0.2,33.9,21.1,27.7,11.6,37.1,55041.36,24.37,5.75,1.0,0.2,0.0,51,1014.6,17.1,2021-06-25
6.4,33.3,21.6,26.4,14.4,37.8,48774.7,24.06,5.32,3.0,6.4,0.0,63,1011.5,18.1,2021-06-26
4.2,26.3,19.9,23.2,17.3,33.8,45177.11,17.28,3.76,8.0,4.2,0.0,63,1009.9,18.9,2021-06-27
1.0,25.9,18.2,21.7,24.8,48.6,55736.48,21.66,4.83,6.0,1.0,0.0,51,1012.2,15.1,2021-06-28
1.4,25.3,17.8,21.4,15.7,38.2,54514.2,21.69,4.45,3.0,1.4,0.0,53,1013.0,15.3,2021-06-29
0.0,28.4,15.5,22.8,12.2,26.3,57600.0,25.32,5.24,0.0,0.0,0.0,3,1011.7,14.6,2021-06-30
0.7,30.2,18.8,24.9,12.3,30.2,55811.7,24.05,5.32,5.0,0.7,0.0,51,1008.9,17.7,2021-07-01
0.5,27.2,19.9,23.7,12.6,31.7,56071.33,24.75,5.02,5.0,0.5,0.0,51,1007.1,17.4,2021-07-02
2.9,26.0,18.7,22.2,11.0,26.6,46118.17,17.72,3.59,7.0,2.9,0.0,53,1005.6,17.2,2021-07-03
2.4,27.0,17.6,22.5,12.1,25.2,53963.37,20.41,4.03,5.0,2.4,0.0,61,1006.7,18.5,2021-07-04
0.6,28.4,19.8,24.0,22.5,44.3,53965.12,23.05,5.18,4.0,0.6,0.0,51,1007.6,18.1,2021-07-05
5.7,27.7,19.9,23.2,15.8,36.4,36832.41,20.04,4.31,5.0,5.7,0.0,63,1011.5,18.3,2021-07-06
0.0,28.2,19.4,23.8,18.1,37.8,56154.64,27.49,5.84,0.0,0.0,0.0,3,1017.9,15.4,2021-07-07
0.0,29.9,18.0,24.9,10.2,24.8,57417.32,25.6,5.77,0.0,0.0,0.0,2,1023.4,14.6,2021-07-08
0.0,29.6,18.6,24.7,10.3,26.6,57363.44,28.29,6.19,0.0,0.0,0.0,0,1022.9,13.1,2021-07-09
0.0,31.4,17.4,25.6,10.8,22.3,57307.1,26.9,5.84,0.0,0.0,0.0,3,1018.6,13.8,2021-07-10
0.1,30.7,19.0,26.1,12.0,26.6,57248.43,23.43,5.51,1.0,0.1,0.0,51,1016.3,14.9,2021-07-11
6.3,27.9,20.8,24.6,13.3,29.9,36366.63,16.43,3.65,6.0,6.3,0.0,61,1015.6,18.9,2021-07-12
0.1,29.8,19.6,25.1,8.2,29.2,54947.02,24.86,5.1,1.0,0.1,0.0,51,1015.5,19.6,2021-07-13
0.0,31.5,20.1,26.6,9.0,22.7,55613.48,25.24,5.56,0.0,0.0,0.0,1,1016.1,18.6,2021-07-14
0.0,33.2,21.3,27.8,11.7,29.9,56167.52,26.08,6.21,0.0,0.0,0.0,1,1013.9,17.8,2021-07-15
0.0,32.8,22.8,28.0,12.2,28.1,55692.37,24.57,6.02,0.0,0.0,0.0,1,1012.7,17.4,2021-07-16
0.5,31.2,20.6,26.6,12.9,28.8,54052.29,23.23,5.2,4.0,0.5,0.0,51,1012.3,19.4,2021-07-17
0.0,31.9,22.6,27.4,11.7,31.7,53679.55,23.39,5.24,0.0,0.0,0.0,3,1010.1,19.6,2021-07-18
6.6,29.6,21.2,24.8,18.4,37.8,39215.56,18.98,3.84,8.0,6.6,0.0,61,1009.9,20.7,2021-07-19
0.8,27.7,20.0,23.5,15.2,27.0,34826.48,17.1,3.7,6.0,0.8,0.0,51,1009.7,19.2,2021-07-20
7.0,24.0,19.2,21.7,27.0,51.1,25849.93,14.85,3.58,10.0,7.0,0.0,61,1008.5,16.2,2021-07-21
0.0,23.1,16.5,20.0,23.4,46.1,48622.51,23.63,4.92,0.0,0.0,0.0,3,1013.4,12.0,2021-07-22
0.0,25.5,14.6,20.0,14.7,31.3,47498.43,24.52,4.95,0.0,0.0,0.0,3,1014.4,11.5,2021-07-23
0.1,26.0,16.9,21.4,9.8,21.2,51300.86,19.25,4.06,1.0,0.1,0.0,51,1015.3,13.5,2021-07-24
0.1,27.0,17.0,22.2,8.7,21.2,51596.37,21.78,4.5,1.0,0.1,0.0,51,1018.2,14.3,2021-07-25
0.0,27.8,17.4,23.2,12.8,27.0,51254.62,20.28,4.47,0.0,0.0,0.0,2,1019.9,15.5,2021-07-26
0.0,30.5,18.8,24.9,17.3,39.6,44993.16,23.41,5.55,0.0,0.0,0.0,3,1017.9,16.4,2021-07-27
6.7,30.0,20.5,24.9,12.8,31.7,50040.57,21.64,4.72,8.0,6.7,0.0,63,1013.4,18.2,2021-07-28
0.0,31.4,19.8,25.8,15.5,31.7,47682.06,22.3,5.19,0.0,0.0,0.0,3,1009.3,17.8,2021-07-29
0.0,29.0,20.1,24.6,15.4,32.8,50846.82,22.27,5.22,0.0,0.0,0.0,3,1009.5,15.9,2021-07-30
0.0,30.8,18.2,25.0,10.2,25.2,50483.71,22.98,5.13,0.0,0.0,0.0,2,1009.8,14.7,2021-07-31
1.6,29.2,20.7,24.6,12.9,37.4,50005.4,20.6,4.38,6.0,1.6,0.0,53,1009.4,19.0,2021-08-01
3.3,30.0,20.9,24.6,24.8,53.6,40306.02,18.84,4.81,7.0,3.3,0.0,61,1007.2,18.0,2021-08-02
0.7,25.0,16.0,20.6,14.9,31.7,50400.0,21.7,4.48,2.0,0.7,0.0,51,1014.0,13.0,2021-08-03
0.1,26.2,14.9,21.1,9.3,24.8,44446.37,20.93,4.24,1.0,0.1,0.0,51,1016.6,13.2,2021-08-04
1.9,27.2,18.2,22.5,13.5,29.5,47235.07,18.03,3.85,8.0,1.9,0.0,53,1011.8,17.1,2021-08-05
12.1,25.5,18.5,21.8,20.9,50.8,19889.7,12.56,2.72,14.0,12.1,0.0,63,1003.9,18.8,2021-08-06
0.0,23.0,16.4,19.2,17.5,38.2,39654.62,19.29,3.8,0.0,0.0,0.0,3,1008.8,13.6,2021-08-07
0.0,26.4,13.6,20.5,10.5,25.6,50400.0,24.83,4.71,0.0,0.0,0.0,0,1015.4,13.1,2021-08-08
0.0,28.9,14.8,23.0,15.5,27.4,50400.0,24.2,5.07,0.0,0.0,0.0,1,1016.8,14.8,2021-08-09
0.2,27.0,18.8,22.9,20.8,40.3,50400.0,19.88,4.33,2.0,0.2,0.0,51,1016.1,17.2,2021-08-10
0.0,28.7,17.5,23.3,18.6,38.2,50400.0,24.09,5.88,0.0,0.0,0.0,1,1013.2,13.2,2021-08-11
0.0,25.6,16.7,21.0,23.7,45.7,50320.75,22.37,5.3,0.0,0.0,0.0,2,1016.3,11.7,2021-08-12
0.0,25.5,14.4,20.3,16.2,34.2,48102.12,19.05,4.27,0.0,0.0,0.0,3,1022.0,11.4,2021-08-13
